epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,7772.3,0.69391,1.22983,0.01115,0.56406,0.4786,0.49568,0.26866,1.86018,1.86351,0.04484,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,7915.23,0.70724,1.25201,0.01132,0.63031,0.43049,0.49667,0.26307,1.86293,1.85586,0.04477,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,8056.52,0.6885,1.20787,0.011,0.55755,0.44827,0.4925,0.26602,1.85643,1.86698,0.04462,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,8198.19,0.69666,1.19557,0.01121,0.56174,0.48419,0.49711,0.27339,1.85498,1.86503,0.04453,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,8340.13,0.68661,1.18627,0.01101,0.58166,0.46801,0.50093,0.27082,1.87051,1.86945,0.04488,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,8482.32,0.6912,1.19323,0.01112,0.59199,0.4551,0.50697,0.27917,1.869,1.83617,0.04487,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,8625.53,0.68298,1.1774,0.01089,0.58879,0.4996,0.51666,0.27956,1.85903,1.82879,0.04445,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,8767.26,0.69111,1.16953,0.01107,0.55743,0.51273,0.52055,0.28317,1.84234,1.86376,0.04408,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,8910.72,0.68046,1.14398,0.0109,0.58045,0.4725,0.50789,0.27393,1.84594,1.86661,0.04433,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,9054.22,0.67797,1.13953,0.01082,0.63878,0.43803,0.48798,0.26047,1.84995,1.84994,0.04409,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,9196.39,0.67595,1.1316,0.01074,0.52103,0.50071,0.52322,0.28331,1.85294,1.81655,0.04418,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,9339.16,0.675,1.10774,0.01072,0.62757,0.44422,0.51572,0.2735,1.85543,1.82966,0.04456,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,9480.3,0.68153,1.12032,0.01089,0.58293,0.48035,0.51249,0.27911,1.83936,1.84184,0.04406,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,9622.5,0.67004,1.09426,0.01069,0.60115,0.47778,0.51856,0.28515,1.84714,1.83112,0.04431,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,9765.56,0.66601,1.08833,0.01045,0.63413,0.46266,0.52395,0.28909,1.84555,1.85313,0.04413,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,9906.28,0.67345,1.08385,0.01061,0.58251,0.50238,0.51639,0.28279,1.85286,1.81625,0.04413,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,10047.4,0.6703,1.0919,0.01066,0.58733,0.46673,0.50914,0.27892,1.83127,1.83761,0.04351,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,10189.4,0.66466,1.06566,0.01057,0.62468,0.43696,0.51223,0.28059,1.83447,1.83337,0.04368,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,10331.7,0.65878,1.06267,0.01048,0.6647,0.41519,0.51956,0.2833,1.83867,1.81231,0.04374,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,10471.6,0.66128,1.05379,0.01044,0.62263,0.46089,0.5104,0.27804,1.83032,1.82161,0.04372,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,10612.5,0.67034,1.0448,0.01072,0.65101,0.43426,0.51779,0.28434,1.82643,1.82886,0.04364,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,10754.1,0.65132,1.04689,0.01027,0.5985,0.48964,0.52204,0.2827,1.81,1.8337,0.04312,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,10895.8,0.65357,1.03924,0.01042,0.65319,0.4454,0.54172,0.29555,1.81794,1.7677,0.04324,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,11037.1,0.65096,1.02312,0.01031,0.61994,0.48197,0.53757,0.29101,1.81203,1.78094,0.043,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,11178.3,0.64632,1.00429,0.01032,0.60283,0.50446,0.53862,0.295,1.82182,1.76835,0.04328,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,11321.2,0.6498,1.01644,0.01032,0.61279,0.47893,0.53029,0.29291,1.81905,1.78203,0.04313,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,11463.8,0.64404,0.99324,0.0102,0.60762,0.49099,0.53335,0.29403,1.82742,1.78496,0.04344,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,11606.4,0.66042,1.00278,0.0104,0.6046,0.48715,0.5363,0.29547,1.81598,1.82519,0.04321,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,11749,0.63859,0.97898,0.01005,0.59728,0.49812,0.54402,0.2988,1.81933,1.81555,0.04324,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,11892.3,0.63951,0.97553,0.01019,0.61549,0.47171,0.53497,0.29314,1.81196,1.83822,0.04313,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,12034.1,0.63192,0.96421,0.00998,0.57822,0.48366,0.52453,0.28568,1.81544,1.82333,0.04312,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,12175.4,0.63048,0.95656,0.00994,0.58489,0.47572,0.52627,0.28935,1.82423,1.78775,0.04348,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,12317.3,0.63292,0.94859,0.00995,0.64686,0.45606,0.52423,0.29004,1.82225,1.77281,0.04332,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,12459.7,0.62513,0.93618,0.00984,0.59966,0.47659,0.52752,0.2915,1.81506,1.77681,0.04326,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,12600,0.63179,0.93349,0.00988,0.61674,0.47626,0.53812,0.30136,1.80462,1.76699,0.04302,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,12741.1,0.61593,0.91865,0.00973,0.62206,0.46953,0.52737,0.29123,1.80054,1.78697,0.04304,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,12881.5,0.63102,0.93897,0.00987,0.59994,0.49195,0.53512,0.29346,1.80628,1.77497,0.04306,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,13022.7,0.62614,0.92088,0.00978,0.611,0.48008,0.53576,0.29535,1.80646,1.78037,0.04298,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,13165,0.61723,0.91446,0.00976,0.63787,0.47027,0.53834,0.29922,1.8014,1.77006,0.0428,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,13307,0.6152,0.88815,0.00961,0.67338,0.46447,0.54099,0.30218,1.80308,1.75105,0.04287,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,13449.9,0.6198,0.88717,0.00981,0.64848,0.47643,0.54724,0.30511,1.79081,1.77518,0.04262,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,13591.9,0.61788,0.90493,0.00966,0.67823,0.47443,0.54157,0.30344,1.7983,1.75199,0.04281,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,13735.6,0.60105,0.88968,0.0094,0.66146,0.47188,0.53452,0.30279,1.79889,1.74782,0.04273,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,13879,0.60546,0.87877,0.00947,0.66253,0.47753,0.53646,0.30336,1.7924,1.75286,0.0426,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,14021.3,0.60977,0.86955,0.00954,0.66683,0.47081,0.54108,0.30891,1.78911,1.74867,0.04261,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,14165,0.61225,0.86475,0.00957,0.672,0.4801,0.54353,0.31085,1.7802,1.76172,0.0424,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,14307.6,0.6048,0.84765,0.00947,0.66824,0.47962,0.54391,0.31076,1.78544,1.75479,0.04247,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,14448.3,0.59952,0.84295,0.00937,0.65212,0.48182,0.54344,0.31015,1.78953,1.75842,0.04268,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
