epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,9178.91,0.695,1.18946,0.01108,0.57889,0.50669,0.52994,0.28563,1.85749,1.87486,0.04435,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,9319.25,0.7009,1.22621,0.01127,0.57391,0.49418,0.51794,0.28217,1.85833,1.88094,0.04445,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,9461.99,0.69106,1.21122,0.01105,0.54574,0.49613,0.52605,0.28793,1.86399,1.88628,0.04453,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,9605.08,0.68854,1.18812,0.01091,0.55648,0.48019,0.51622,0.28172,1.84269,1.86034,0.04399,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,9746.61,0.69798,1.1797,0.01111,0.57925,0.49104,0.5218,0.28146,1.85214,1.86266,0.04438,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,9888.18,0.69334,1.19119,0.01111,0.57276,0.49061,0.51524,0.27778,1.85011,1.84356,0.04412,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,10030.7,0.68912,1.18052,0.01106,0.60096,0.48469,0.51282,0.27939,1.8361,1.86176,0.04373,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,10172.7,0.6827,1.16241,0.01093,0.61439,0.47517,0.51852,0.28625,1.8366,1.87129,0.0438,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,10315,0.69063,1.1607,0.01101,0.61608,0.49132,0.52144,0.28956,1.83947,1.83565,0.04395,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,10456.4,0.69044,1.15622,0.0111,0.63333,0.47268,0.52813,0.29101,1.83049,1.85805,0.04363,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,10598.8,0.67923,1.15439,0.01078,0.61748,0.47455,0.52492,0.29259,1.82234,1.85935,0.04348,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,10740.6,0.68939,1.15638,0.01107,0.63936,0.48367,0.53973,0.30203,1.82504,1.83049,0.04354,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,10882.1,0.68435,1.13816,0.01097,0.63012,0.50169,0.53697,0.29966,1.81934,1.84904,0.04343,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,11023.6,0.67806,1.11875,0.01091,0.62918,0.49994,0.53297,0.29514,1.83349,1.86718,0.04379,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,11165.6,0.68729,1.13255,0.01092,0.60098,0.52203,0.52984,0.29474,1.82737,1.87084,0.04366,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,11308.1,0.6728,1.11986,0.01068,0.68509,0.4607,0.53924,0.29781,1.82543,1.86671,0.04354,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,11449.2,0.69442,1.14445,0.01108,0.62164,0.49787,0.52868,0.29093,1.82826,1.87248,0.04355,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,11591.3,0.67528,1.10985,0.0108,0.62122,0.50127,0.53152,0.29683,1.83364,1.86365,0.04376,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,11733.2,0.68135,1.11987,0.01094,0.63335,0.49046,0.53196,0.294,1.83291,1.86409,0.04372,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,11874.5,0.67905,1.10008,0.01092,0.69718,0.47369,0.53327,0.29743,1.8332,1.83671,0.04377,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,12016.6,0.67233,1.09137,0.01074,0.68412,0.48018,0.5403,0.29789,1.826,1.84234,0.04357,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,12157.5,0.67433,1.079,0.0107,0.66889,0.49665,0.53699,0.2964,1.82749,1.83306,0.0438,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,12299,0.66712,1.08134,0.0106,0.60958,0.52691,0.53434,0.29512,1.81773,1.83055,0.04352,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,12439.9,0.67069,1.08392,0.01062,0.62309,0.51525,0.53608,0.29892,1.80498,1.84182,0.0432,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,12582.2,0.66792,1.05961,0.01066,0.62345,0.51617,0.53819,0.29736,1.80031,1.84,0.04307,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,12723.3,0.67602,1.08267,0.01066,0.6234,0.51111,0.53508,0.29999,1.79572,1.83119,0.04295,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,12865.3,0.68158,1.06672,0.01076,0.63123,0.50261,0.54434,0.30599,1.78859,1.83002,0.04271,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,13006.6,0.66398,1.06566,0.01064,0.63231,0.4997,0.53426,0.30015,1.78735,1.82764,0.04266,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,13147.6,0.66849,1.0498,0.01061,0.64131,0.49799,0.53975,0.30192,1.79079,1.81428,0.04273,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,13288.8,0.67111,1.04899,0.0107,0.62398,0.50381,0.53798,0.3002,1.79205,1.80729,0.04281,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,13430.5,0.67313,1.05948,0.01067,0.59126,0.51965,0.54148,0.30237,1.78964,1.81796,0.04281,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,13573.1,0.6544,1.03282,0.01037,0.60445,0.51514,0.53849,0.30163,1.79243,1.81843,0.0429,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,13714.6,0.66014,1.03656,0.01046,0.60219,0.50652,0.5432,0.30228,1.80327,1.80403,0.0432,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,13856.1,0.659,1.03205,0.0105,0.60895,0.51742,0.54018,0.30108,1.79252,1.82025,0.0429,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,13996.6,0.66433,1.0347,0.01055,0.64527,0.49031,0.53505,0.30001,1.79064,1.82234,0.0428,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,14139.3,0.66185,1.0169,0.01048,0.65358,0.49369,0.53736,0.29847,1.79288,1.83262,0.04279,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,14281.6,0.66115,1.01077,0.01045,0.63964,0.50089,0.53927,0.30046,1.80013,1.82187,0.04302,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,14423.9,0.66123,1.01559,0.01051,0.62704,0.50797,0.54148,0.30108,1.79345,1.83214,0.04278,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,14566.2,0.66598,1.01278,0.01056,0.65817,0.48869,0.53763,0.29969,1.80273,1.8236,0.043,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,14709,0.65878,1.01765,0.01032,0.65645,0.489,0.53492,0.29951,1.80055,1.81964,0.04289,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,14850.5,0.64916,0.99002,0.01019,0.67864,0.48001,0.53504,0.29904,1.79512,1.81995,0.04283,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,14992.2,0.65413,1.0031,0.01044,0.64628,0.49591,0.53536,0.2982,1.79807,1.80991,0.04283,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,15134.6,0.65539,0.98426,0.01039,0.67357,0.48722,0.53874,0.29924,1.79272,1.81471,0.0427,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,15275.3,0.64896,0.988,0.01026,0.67564,0.48298,0.53578,0.29731,1.79182,1.81477,0.04265,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
